problem,num_obj,phase,iRVEA_R_IGD_mean,iRVEA_R_IGD_std,iNSGAIII_R_IGD_mean,iNSGAIII_R_IGD_std,iRVEA_R_HV_mean,iRVEA_R_HV_std,iNSGAIII_R_HV_mean,iNSGAIII_R_HV_std,iRVEA_N_Ss_mean,iRVEA_N_Ss_std,iNSGAIII_N_Ss_mean,iNSGAIII_N_Ss_std,iRVEA_FEs_mean,iRVEA_FEs_std,iNSGAIII_FEs_mean,iNSGAIII_FEs_std
DTLZ2,9,decision,2.061271621386199,1.9081777644857956,0.9490989789914709,0.41887521818342366,,,,,371.42857142857144,219.8505057941855,489.57142857142856,6.214969858344933,310989.4285714286,179609.81861711646,448200.0,0.0
DTLZ3,3,learning,0.27984075951977755,0.24135104771483215,0.13474087031588594,0.062351965108441904,32.98325359455669,1.2260395946983944,33.80322383536619,0.7515635609611478,21.428571428571427,25.019176318845297,391.0,33.02956828286408,86658.0,17666.6218939235,127200.0,0.0
DTLZ3,3,decision,0.11581115828679188,0.07037143549502033,0.1278556354275231,0.07337423629095575,25.434835278402847,0.7875402383449351,25.452513226234498,0.7655259866851466,149.47619047619048,111.4414725946268,308.8095238095238,9.698399709029308,83370.57142857143,5569.057444157542,95400.0,0.0
DTLZ3,4,learning,0.17833778953666546,0.05103596108425016,0.17272527882451943,0.05541019001765464,,,,,44.0,60.696748167387334,469.6666666666667,35.87588835247658,144330.66666666666,8773.034819063922,192000.0,0.0
DTLZ3,4,decision,0.18483345691827865,0.4152648198022103,0.07931936034836981,0.0413673133604159,,,,,267.57142857142856,85.66911508187513,357.6666666666667,3.371213337224354,126203.04761904762,29539.866999210837,144000.0,0.0
DTLZ3,5,learning,0.24821305972184107,0.18346126837300233,0.3528939852240676,0.13476213250550187,,,,,121.14285714285714,64.53665308827794,476.23809523809524,52.01090065407512,199066.66666666666,30649.914989912922,252000.0,0.0
DTLZ3,5,decision,0.10947595786131566,0.015727852660332785,0.08129897007463568,0.06997683663012752,,,,,347.0952380952381,71.90662249248427,328.3809523809524,93.82073899602176,186264.2857142857,7446.970346855073,189000.0,0.0
DTLZ3,6,learning,0.3721024317886317,0.04593293420142641,0.4726364923234238,0.1932295710489806,,,,,345.95238095238096,69.64978801490743,332.76190476190476,82.70135875080305,231555.42857142858,8571.425599999486,302400.0,0.0
DTLZ3,6,decision,0.23777663633848686,0.07353809348418115,0.2249256998125914,0.1281342391189439,,,,,385.3809523809524,4.005664922821541,293.95238095238096,99.39362640794198,221365.14285714287,9022.698921981975,226800.0,0.0
DTLZ3,7,learning,0.44985549426593086,0.2136763304662184,0.4574216882995842,0.16479688135442733,,,,,268.6190476190476,25.613382273216533,217.28571428571428,30.718604347548478,195078.0,11584.851488042477,235200.0,0.0
DTLZ3,7,decision,0.22249692455696626,0.09079432209590242,0.32360473241403975,0.10902697361498806,,,,,259.3333333333333,12.229290885229428,78.47619047619048,34.35059997759663,173448.66666666666,12570.623249818957,176400.0,0.0
