problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_N_Ss,iNSGAIII_N_Ss,iRVEA_FEs,iNSGAIII_FEs
DTLZ1,3,1,100,[0.         3.74460585 0.93615146],0.6834325386010507,0.7081097003632948,8.29195321950299,8.498024743280993,0,105,26190,31800
DTLZ1,3,2,100,[0.20064848 0.60194545 0.20064848],0.5980062545381877,0.599834786432417,8.803714007278291,9.081686139064916,0,105,27090,31800
DTLZ1,3,3,100,[0.         0.         0.51376811],0.551887964184118,0.5518743761478755,8.079152597797487,8.06079872221587,0,105,16968,31800
DTLZ1,3,4,100,[0.         0.30778507 0.20519005],0.7387763347020332,0.7377832438112982,8.780198017998565,8.84728753061769,0,106,13794,31800
DTLZ1,3,5,100,[0.07102334 0.25989473 0.07102334],0.5819064357841389,0.5800601198406686,8.495220908006283,8.527068349406132,3,105,28416,31800
DTLZ1,3,6,100,[0.07674356 0.26561495 0.07674356],0.5874202870295364,0.5840287049828096,8.442088486869315,8.53970127662682,99,106,32250,31800
DTLZ1,3,7,100,[0.07345959 0.26070074 0.07345959],0.5848461441510595,0.5821084447051255,8.448600397897138,8.527153928999084,104,106,32376,31800
DTLZ2,3,1,100,[2.71036682e-17 2.46298378e-01 9.85193511e-01],0.06534964322517549,0.06896589372333357,8.323265546545935,8.304435580115296,49,105,29814,31800
DTLZ2,3,2,100,[1.20128199e-17 1.00051343e+00 0.00000000e+00],0.008676209851357666,0.006301891593501355,8.079780887005057,8.059997767094284,27,106,27834,31800
DTLZ2,3,3,100,[0.2430564  0.         0.97222561],0.06318502532237635,0.0633873095969819,8.312700463881498,8.309347898472106,30,106,3786,31800
DTLZ2,3,4,100,[0.98620456 0.24655114 0.        ],0.06542001048236099,0.06788668450076825,8.323855606104257,8.30620838699326,70,105,27072,31800
DTLZ2,3,5,100,[0.24121219 0.24121219 0.84435944],0.08814370627663033,0.009469085505854742,8.03902023453191,8.720652153069713,4,106,1674,31800
DTLZ2,3,6,100,[0.30058126 0.30058126 0.90369357],0.033273997849890366,0.031478269831144524,8.562859994141624,8.937747462377619,84,104,26148,31800
DTLZ2,3,7,100,[0.30053315 0.30053315 0.90360901],0.033393896424870714,0.01702476192283915,8.560538502634142,8.6841868878688,85,104,32400,31800
DTLZ3,3,1,100,[1.73961387e-32 1.00089654e+00 4.00358615e+00],0.5279753811753407,0.06015560954578728,5.408147512170708,8.372008301279818,0,105,4302,31800
DTLZ3,3,2,100,[1.73961387e-32 8.39810035e-01 5.59873356e-01],0.012452417178905443,0.010494847600757898,8.728487347279554,8.791513971794554,0,106,27090,31800
DTLZ3,3,3,100,[0.24473045 0.         0.97892178],0.056710299442512935,0.06819312704089668,8.770015322213501,8.310632236807576,0,106,17226,31800
DTLZ3,3,4,100,[0.56101672 0.84152508 0.        ],0.008783622806329232,0.01065525756157513,8.873139481563305,8.896968012383248,0,105,13920,31800
DTLZ3,3,5,100,[2.22044605e-16 8.32135457e-01 5.53369027e-01],0.008907018219332277,0.012833850184789709,8.615673988070897,8.629635568936624,0,106,18486,31800
DTLZ3,3,6,100,[2.22044605e-16 8.31967240e-01 5.53241559e-01],0.00593159422924976,0.01074567751276997,8.627852331612553,8.640394169859118,0,106,32400,31800
DTLZ3,3,7,100,[2.22044605e-16 8.31479385e-01 5.52756839e-01],0.0061643382771088715,0.011077711156151845,8.625633369537892,8.6371055503423,0,105,32400,31800
DTLZ4,3,1,100,[5.90026140e-17 0.00000000e+00 1.00129578e+00],0.008308634313262968,0.007019865722073775,8.080237872835118,8.059162320300912,19,106,27702,31800
DTLZ4,3,2,100,[3.75030113e-33 1.00020105e+00 0.00000000e+00],0.023363086535971217,0.006783663059373274,7.94645496341288,8.059568158997045,30,105,22536,31800
DTLZ4,3,3,100,[0.97121741 0.24280435 0.        ],0.06584220307062337,0.06597354048562794,8.304124085959252,8.312153963425724,59,106,27384,31800
DTLZ4,3,4,100,[1.00016615 0.         0.        ],0.02323943535689504,0.0072568436364091465,7.945541677058701,8.061533075568795,43,106,29490,31800
DTLZ4,3,5,100,[0.89511474 0.29200163 0.29200163],0.028853182390396855,0.02118268009018348,8.554346726292723,8.655730866741983,78,104,27486,31800
DTLZ4,3,6,100,[0.89806162 0.29498217 0.29498217],0.0299609973918388,0.023721570367224835,8.553751074434912,8.662947634133149,87,102,32400,31800
DTLZ4,3,7,100,[0.89806162 0.29498217 0.29498217],0.02952682869694318,0.022831490439272187,8.555307277874002,8.605818872366564,82,101,32400,31800
DTLZ1,4,1,100,[0.         1.08693688 4.3477475  0.        ],0.5765109200067766,0.6183855428534406,,,0,120,31680,48000
DTLZ1,4,2,100,[0.         0.         0.60573135 0.        ],0.558778411830082,0.5588558490814611,,,0,120,45272,48000
