problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV,iRVEA_N_Ss,iNSGAIII_N_Ss,iRVEA_FEs,iNSGAIII_FEs
DTLZ1,3,1,100,[4.06654565 0.         1.01663641],0.6833786431174018,0.6790810431604818,8.324176440768445,8.734703319700479,0,105,21342,31800
DTLZ1,3,2,100,[0.         0.63586197 0.42390798],0.7386114058636993,0.750805239118496,8.787467238733202,8.698205569435846,0,105,23328,31800
DTLZ1,3,3,100,[0.         0.         0.53284107],0.5583091054942765,0.5519036162614704,8.037380625917445,8.06235457929134,0,105,11940,31800
DTLZ1,3,4,100,[0.         0.20495495 0.30743243],0.6249621313733741,0.624423001781753,8.775075799275069,8.792722387366897,47,104,22638,31800
DTLZ1,3,5,100,[2.22044605e-16 2.45836876e-01 1.51479043e-01],0.7791049609934461,0.7805569582036506,8.623471884225006,8.630369819412849,103,93,26148,31800
DTLZ1,3,6,100,[2.22044605e-16 2.40864481e-01 1.48950083e-01],0.7752208939033342,0.7734909520875798,8.644500573936437,8.664705824893854,105,40,32400,31800
DTLZ1,3,7,100,[2.22044605e-16 2.33821245e-01 1.44417568e-01],0.7787196300297365,0.7748697286745618,8.626943915567189,8.651420869412524,102,104,32400,31800
DTLZ2,3,1,100,[4.74894929e-17 1.01101335e+00 0.00000000e+00],0.00891889026135014,0.007488320130489518,8.07993336742761,8.059546075345303,28,105,24288,31800
DTLZ2,3,2,100,[0.33358054 0.66716107 0.66716107],0.02262724043725206,0.048665554429353955,9.051587361682873,8.961461786306334,78,106,15630,31800
DTLZ2,3,3,100,[1.00064171 0.         0.        ],0.008694675185448766,0.006711066046881344,8.07938683789651,8.060712768824816,29,105,26196,31800
DTLZ2,3,4,100,[0.55525306 0.         0.83287958],0.28792289694946205,0.010118423142750412,6.149108779093576,8.788295050490952,1,105,1512,31800
DTLZ2,3,5,100,[0.32562536 0.65905744 0.65905744],0.5970401232079305,0.018469433873336442,4.63691633888656,8.902860773760331,1,105,1200,31800
DTLZ2,3,6,100,[0.32858975 0.66196979 0.66196979],0.5981582818268755,0.05054034764981072,4.634087182171703,8.762100970219322,2,103,1200,31800
DTLZ2,3,7,100,[0.32856334 0.66193045 0.66193045],0.598153232795542,0.021063838295685026,4.634099962421388,8.871012537444999,2,98,1200,31800
DTLZ3,3,1,100,[2.20849864e-32 5.43375214e+00 1.35843803e+00],0.06706199277904906,0.0720543150701753,8.301112962407636,8.363919493458198,0,105,20316,31800
DTLZ3,3,2,100,[0.31747719 0.31747719 0.95243157],0.03153358937268747,0.023617102883754862,8.842467793301529,8.70647313071267,0,106,22758,31800
DTLZ3,3,3,100,[2.20849864e-32 1.01533224e+00 0.00000000e+00],0.009810917700488891,0.007980231678248031,8.080950249952393,8.067999450833662,0,106,27360,31800
DTLZ3,3,4,100,[1.01196432 0.         0.        ],0.009740676097533872,0.006853537727197369,8.081084077347983,8.061514184131347,0,105,27072,31800
DTLZ3,3,5,100,[0.29485172 0.29485172 0.9054399 ],0.03199715339865663,0.025434161652662744,8.678124513362466,8.831758007763948,78,105,19074,31800
DTLZ3,3,6,100,[0.2884009  0.2884009  0.89275632],0.024171104095861505,0.020248941104939,8.615367857975572,8.646806932792222,93,105,32400,31800
DTLZ3,3,7,100,[0.2979513  0.2979513  0.90230357],0.031255313857252394,0.0260111734689613,8.575982640656035,8.644092875903576,99,106,32394,31800
DTLZ4,3,1,100,[4.63276885e-17 1.00101460e+00 0.00000000e+00],0.00875562111203465,0.018947448831004868,8.080295063733667,7.955332279642768,13,106,27582,31800
DTLZ4,3,2,100,[1.00016633 0.         0.        ],0.023200264171819435,0.007236618122074041,7.9460385241355285,8.059349765469706,28,105,27786,31800
DTLZ4,3,3,100,[3.74965268e-33 0.00000000e+00 1.00006754e+00],0.008804472267425386,0.006958997477434952,8.079682935484403,8.060452706886375,29,105,27396,31800
DTLZ4,3,4,100,[0.33381667 0.66763335 0.66763335],0.05247116963138644,0.04946798062535063,8.91583153134768,8.903243714782239,88,104,26010,31800
DTLZ4,3,5,100,[0.6379874  0.6379874  0.30454575],0.03865685965128418,0.037133582373410856,8.710974410615576,8.772867556554221,85,104,27090,31800
DTLZ4,3,6,100,[0.66221004 0.66221004 0.32882248],0.050157671617532665,0.04791775076216697,8.754818267238958,8.77247586066335,88,103,32310,31800
DTLZ4,3,7,100,[0.6621486  0.6621486  0.32878357],0.048407885653943133,0.05155422622592594,8.709714402736534,8.757021705638847,76,99,32400,31800
DTLZ1,4,1,100,[ 0.          0.          0.         10.79219051],0.6563794012483417,0.5588888103881147,,,0,120,7672,48000
DTLZ1,4,2,100,[0.        0.9606943 0.        0.       ],0.5597773526672365,0.5587021960488734,,,0,120,15640,48000
DTLZ1,4,3,100,[0.10888595 0.10888595 0.         0.32665784],0.6196315210631758,0.7321941977087798,,,0,121,41584,48000
DTLZ1,4,4,100,[0.         0.         0.50837102 0.        ],0.5760301793075502,0.5587506594365165,,,0,121,7432,48000
DTLZ1,4,5,100,[2.22044605e-16 3.57708051e-01 2.22044605e-16 2.22044605e-16],0.562013053785313,0.559487278936925,,,0,121,18360,48000
DTLZ1,4,6,100,[2.22044605e-16 3.51112909e-01 2.22044605e-16 2.22044605e-16],0.5600408788609352,0.5596090208312627,,,48,119,49392,48000
DTLZ1,4,7,100,[2.22044605e-16 3.51295721e-01 2.22044605e-16 2.22044605e-16],0.5600228281615806,0.5595193731179927,,,111,119,49600,48000
DTLZ2,4,1,100,[4.60519048e-17 2.41500561e-17 1.00406101e+00 0.00000000e+00],0.008308558589334377,0.004275400876958046,,,45,120,37632,48000
DTLZ2,4,2,100,[3.73713728e-33 9.81274394e-01 0.00000000e+00 2.45318598e-01],0.08556341648538678,0.0908837518508835,,,63,121,37528,48000
DTLZ2,4,3,100,[0.37910754 0.37910754 0.37910754 0.75821507],0.35206111407017265,0.34548555906644013,,,111,121,21568,48000
DTLZ2,4,4,100,[0.38168137 0.38168137 0.76336273 0.38168137],0.30974471370453316,0.396662401940838,,,119,120,42528,48000
DTLZ2,4,5,100,[0.35508912 0.35508912 0.35508912 0.73321541],0.3047361015633528,0.3453053936007725,,,117,120,39240,48000
DTLZ2,4,6,100,[0.35508912 0.35508912 0.35508912 0.73321541],0.3035827348488017,0.3473897975720158,,,114,119,49600,48000
DTLZ2,4,7,100,[0.35505519 0.35505519 0.35505519 0.73315605],0.30379978136672836,0.32923400495327865,,,106,115,49600,48000
DTLZ3,4,1,100,[1.48589942 0.         0.         5.94359767],0.10260080374385643,0.12570055685734496,,,0,118,37688,48000
DTLZ3,4,2,100,[1.39793569e-48 2.08408448e+00 1.04204224e+00 2.08408448e+00],0.03229230089562018,0.04666057032380197,,,2,120,35856,48000
DTLZ3,4,3,100,[1.39793569e-48 3.85743191e-01 0.00000000e+00 1.54297276e+00],0.08407082899111906,0.09519061717411403,,,18,120,43320,48000
DTLZ3,4,4,100,[1.39793569e-48 2.51036310e-01 1.00414524e+00 0.00000000e+00],0.05710371979106765,0.0812044666397087,,,93,120,38600,48000
DTLZ3,4,5,100,[2.22044605e-16 6.56806408e-01 3.15893636e-01 6.56806408e-01],0.6769077168258657,0.027674999769479302,,,3,120,2080,48000
DTLZ3,4,6,100,[2.22044605e-16 6.53375404e-01 3.18288529e-01 6.53375404e-01],0.6799434490652959,0.028128511399780117,,,3,119,1600,48000
DTLZ3,4,7,100,[2.22044605e-16 6.51271262e-01 3.16832442e-01 6.51271262e-01],0.6796180789296248,0.02823309942114786,,,3,119,1600,48000
DTLZ4,4,1,100,[5.26699040e-017 1.00912577e+000 2.32585791e-259 5.29771256e-297],0.055580869821632205,0.004177658083626722,,,68,121,39968,48000
DTLZ4,4,2,100,[1.32947603e-019 1.66233710e-222 0.00000000e+000 1.00051005e+000],0.008151063702193376,0.0029533891724548844,,,78,120,42256,48000
DTLZ4,4,3,100,[1.00045424e+000 1.66233710e-222 0.00000000e+000 0.00000000e+000],0.055342740184742986,0.004361320507857162,,,72,120,44160,48000
DTLZ4,4,4,100,[4.80847618e-034 1.66233710e-222 1.00020447e+000 0.00000000e+000],0.008295384490175497,0.0029789442541293437,,,79,119,41640,48000
DTLZ4,4,5,100,[5.34636929e-01 2.22044605e-16 5.34636929e-01 2.00792900e-01],0.015580130440273275,0.015463258747760627,,,113,120,40648,48000
DTLZ4,4,6,100,[6.51546103e-01 2.22044605e-16 6.51546103e-01 3.18085855e-01],0.03166094441552835,0.04887484775838447,,,113,120,49256,48000
DTLZ4,4,7,100,[6.51433821e-01 2.22044605e-16 6.51433821e-01 3.18001362e-01],0.03226331580373583,0.031217671818199486,,,108,116,49600,48000
DTLZ1,5,1,100,[ 0.          0.         16.51358537 24.77037805  0.        ],0.629901283066779,0.6847742443684365,,,0,126,49160,63000
DTLZ1,5,2,100,[0.         0.         0.         3.09848385 0.        ],0.569948641086526,0.563805880101721,,,122,82,38160,63000
DTLZ1,5,3,100,[0.         0.         0.         0.         2.02137436],0.5631534469009972,0.5629257026202741,,,105,65,48330,63000
DTLZ1,5,4,100,[0.         0.         1.02316889 0.         0.        ],0.5633219034581013,0.563083076258088,,,107,127,40960,63000
DTLZ1,5,5,100,"[7.64366993e-02 2.22044605e-16 2.22044605e-16 2.22044605e-16
 4.01068598e-01]",0.5767238755974335,0.5993468176944906,,,125,127,37900,63000
DTLZ1,5,6,100,"[2.21179722e-02 2.22044605e-16 2.22044605e-16 2.22044605e-16
 2.61137168e-01]",0.5738346997456074,0.5738346997456074,,,128,127,63690,63000
DTLZ1,5,7,100,"[2.85749616e-02 2.22044605e-16 2.22044605e-16 2.22044605e-16
 2.67594157e-01]",0.5680273819878287,0.5770759397894342,,,127,126,66000,63000
