problem,num_obj,phase,iRVEA_RP_R_IGD_mean,iRVEA_RP_R_IGD_std,iRVEA_Ranges_R_IGD_mean,iRVEA_Ranges_R_IGD_std,iRVEA_RP_R_HV_mean,iRVEA_RP_R_HV_std,iRVEA_Ranges_R_HV_mean,iRVEA_Ranges_R_HV_std,iRVEA_RP_N_Ss_mean,iRVEA_RP_N_Ss_std,iRVEA_Ranges_N_Ss_mean,iRVEA_Ranges_N_Ss_std,iRVEA_RP_FEs_mean,iRVEA_RP_FEs_std,iRVEA_Ranges_FEs_mean,iRVEA_Ranges_FEs_std
DTLZ1,4,learning,2.761985675159429,0.0957203924802275,2.8962392575837717,0.15213144419646332,,,,,209.71428571428572,114.33082443053574,176.66666666666666,107.59993509173708,157745.90476190476,6878.139241066666,159461.33333333334,24309.34056290245
DTLZ1,4,decision,1.7869798636706682,0.09517766879915267,1.7750148066987503,0.10418287672945344,,,,,349.3809523809524,21.724412843128462,275.14285714285717,125.82311306875586,134653.33333333334,6757.110831831219,167614.85714285713,3310.7246550410373
DTLZ1,5,learning,2.7801558194311986,0.11749078581829231,2.977290052104753,0.17953976071696587,,,,,302.42857142857144,86.42727271751525,234.14285714285714,134.88982654789964,214525.7142857143,23342.97846328559,225120.0,20445.168249782266
DTLZ1,5,decision,2.1061849170359923,0.2407275047725545,2.1025290372467764,0.23943232839997428,,,,,358.3809523809524,59.00320910600758,291.2857142857143,148.1611551357388,189001.90476190476,5388.46794999029,212498.57142857142,46311.88691240895
DTLZ1,6,learning,2.80493643438437,0.1266016582684836,3.169898768136734,0.15442114907329715,,,,,331.4761904761905,74.76032755388194,375.6190476190476,172.9562224242986,262012.0,9681.69548315642,288028.5714285714,32166.192255921404
DTLZ1,6,decision,1.958694526979626,0.33213867282800336,1.9613895836317057,0.2905262911719816,,,,,383.95238095238096,17.357518449133735,352.3809523809524,155.43685785567513,220375.42857142858,7395.101831755992,247405.7142857143,96320.92153942508
DTLZ1,7,learning,2.9162393697745452,0.22514795022747788,3.505297417858139,0.3361247268742634,,,,,210.95238095238096,107.40908722329125,312.3809523809524,134.0005245869178,216972.66666666666,5618.305873560898,256392.0,21765.059093265365
DTLZ1,7,decision,2.0348228475213057,0.37503267161699594,2.0248978590433744,0.3358706413902577,,,,,200.23809523809524,56.764261696032754,185.33333333333334,141.98401430252744,180098.66666666666,5427.256724677353,187227.33333333334,108019.65953576333
DTLZ1,8,learning,2.964010061590631,0.16326084476383798,3.6272421454685624,0.41242412497804665,,,,,347.23809523809524,112.42432577046353,350.23809523809524,243.9578232013349,337488.0,26067.36240698592,388892.95238095237,39496.321919746
DTLZ1,8,decision,1.9526310952446673,0.3416308542524922,2.0114306783560782,0.2766090725358597,,,,,348.0952380952381,61.685766485049626,202.8095238095238,206.3546690363622,287030.85714285716,8904.793969893884,220664.38095238095,189814.9568291323
DTLZ1,9,learning,2.8348986757727643,0.14966463503474942,3.6370201664502027,0.3333322206193699,,,,,577.3333333333334,84.64566668701292,569.6190476190476,237.89643128500393,524079.4285714286,31435.335235809955,594522.8571428572,46098.73563629816
DTLZ1,9,decision,1.9825127343037063,0.4070338117385852,1.979789116689188,0.36683797453586126,,,,,513.952380952381,2.9837047995848653,449.23809523809524,253.28092905890747,452580.0,10169.221461983074,460363.71428571426,241345.75582625633
DTLZ2,3,learning,0.19475366985148448,0.20718039138042885,0.361535690350414,0.19525130245517547,31.842884716215465,1.7629960204969901,31.903530224012336,1.941392114408208,204.0,55.76225041574785,61.714285714285715,62.495822989672384,89746.85714285714,17215.938656859074,24348.85714285714,22055.58574814728
DTLZ2,3,decision,0.31915651931723565,0.48138213014635683,0.8812972915312178,0.597232774341878,23.967286275075384,3.447376253546937,19.468961440283085,3.9891954288845257,192.14285714285714,78.96852037922676,14.333333333333334,4.9119226507533815,70329.71428571429,28593.187109191313,15227.714285714286,21819.12310477267
DTLZ2,4,learning,0.5639068568474047,0.42136687728753197,0.7095154562869418,0.47615345232391676,,,,,256.7142857142857,98.51475251242849,208.0952380952381,97.2943030495398,100852.19047619047,34106.15009421956,102171.42857142857,43515.83947699682
DTLZ2,4,decision,0.9965855561024235,0.7916095999343489,0.8792397097925759,0.8381588463536179,,,,,130.52380952380952,134.577511405003,59.476190476190474,59.16773497167189,62445.71428571428,61676.40076672287,59605.333333333336,69507.02410913545
DTLZ2,5,learning,0.2798659402784542,0.19019451618086486,0.5603261476520852,0.1484595542670543,,,,,395.6666666666667,59.14255041711737,300.6190476190476,117.07322746712487,169164.2857142857,30901.42431166881,140703.80952380953,66234.6680534763
DTLZ2,5,decision,0.5302672652118854,0.5169430998699887,0.7510688223717449,0.6143440351128421,,,,,309.23809523809524,124.19259419753956,125.52380952380952,95.8011924807078,157756.19047619047,61041.43459870911,153730.95238095237,81322.99299441186
DTLZ2,6,learning,0.5291400626239025,0.337339181743149,0.5659186659113588,0.08989048068129483,,,,,394.3333333333333,118.0981566459638,372.04761904761904,118.49994020110051,188971.42857142858,62602.204522700646,205655.42857142858,71323.29685284595
DTLZ2,6,decision,1.6887802464359913,1.8487658414945116,1.4142666860474482,1.5825237667834768,,,,,269.04761904761904,162.20077980861112,241.95238095238096,128.59885069118218,159317.14285714287,94461.6004029885,195965.7142857143,100938.7402759208
DTLZ2,7,learning,0.4859963178662009,0.21567931233598392,0.939562146502235,0.34258187570885107,,,,,248.0,61.88545486468952,276.2857142857143,87.17969557028684,136384.66666666666,37755.43741267239,184030.66666666666,45542.478320306145
DTLZ2,7,decision,1.1551258144556389,1.5647118582225077,0.8972321154580087,1.3685310956491166,,,,,176.9047619047619,108.76050787194016,166.0,99.19197356161243,122086.0,73071.09480499112,177300.66666666666,93221.97566859199
DTLZ2,8,learning,0.47597164005641673,0.2672588304961046,0.7839061394950078,0.2849275249629426,,,,,361.7142857142857,54.71409921639234,335.04761904761904,142.454161780612,209207.61904761905,36672.50946842905,224348.19047619047,104465.43025719495
DTLZ2,8,decision,2.458018008309643,2.0490633559390146,0.9690032089162188,0.42351468155228567,,,,,181.57142857142858,140.3422929258086,384.9047619047619,179.88909407687964,127167.23809523809,99389.59816509724,322144.0,108601.56312827529
