problem,num_obj,phase,iRVEA_RP_R_IGD,iRVEA_Ranges_R_IGD,iRVEA_RP_R_HV,iRVEA_Ranges_R_HV,iRVEA_RP_N_Ss,iRVEA_Ranges_N_Ss,iRVEA_RP_FEs,iRVEA_Ranges_FEs
DTLZ3,5,learning,0.7266096935743055,0.577909696979563,,,101,97,134620,42700
DTLZ3,5,decision,0.13608665456511468,1.0827881521897718,,,173,15,163680,9620
DTLZ3,6,learning,1.5543404701870251,1.276894776886737,,,104,343,131952,217464
DTLZ3,6,decision,0.08891688291780045,0.3316318358764278,,,160,23,172692,15288
DTLZ3,7,learning,0.3381193340460076,1.346968937879939,,,282,29,187796,207984
DTLZ3,7,decision,0.42465221635061656,0.44131793485769333,,,264,69,188720,119126
DTLZ3,8,learning,1.1962835131469596,1.1229414522808048,,,289,163,271056,336128
DTLZ3,8,decision,0.7518258548738377,0.15140766585513665,,,21,100,19200,300960
DTLZ3,9,learning,0.3983858569034698,1.1801785801253242,,,625,140,536274,502632
DTLZ3,9,decision,0.1586206909793827,0.025063266546264874,,,519,140,468450,595332
DTLZ4,3,learning,0.03244995762327334,0.27924564856389655,33.01672159408697,32.82083461555632,266,74,106668,31044
DTLZ4,3,decision,0.026623314685925797,0.06277619371366111,25.882964087935783,24.367905819967163,246,64,91566,93840
DTLZ4,4,learning,0.08019852939380721,0.3960042434426595,,,319,47,167520,43888
DTLZ4,4,decision,0.972688633243832,1.0613387578736957,,,338,125,137008,120200
DTLZ4,5,learning,0.12369157596990385,0.40853754916012963,,,468,450,226740,206200
DTLZ4,5,decision,0.11782437697130312,0.1888750106818689,,,367,133,184230,116490
DTLZ4,6,learning,0.6862971412465115,1.0059362587807978,,,507,582,291504,335028
DTLZ4,6,decision,1.1432151940230408,1.2262166175687252,,,385,467,212436,273684
DTLZ4,7,learning,0.743856138541984,1.269746277016168,,,356,438,240156,293160
DTLZ4,7,decision,1.03931930223005,0.9963585171796937,,,266,306,186690,241668
DTLZ4,8,learning,0.8225371954235703,1.2648127033055643,,,503,592,384688,455488
DTLZ4,8,decision,0.492588661470137,0.11811885565110575,,,376,286,294208,310992
DTLZ4,9,learning,1.1202742190948918,1.6160756464348476,,,682,767,551286,636642
DTLZ4,9,decision,1.234073543265219,1.322625468706754,,,517,686,438174,580194
DTLZ1,3,learning,2.3900659924730108,2.3689296668682904,34.04784023161924,34.13368658673457,154,15,111546,73848
DTLZ1,3,decision,1.707301494001237,1.8068402461092297,25.537907379919243,24.747084455997015,320,41,91974,53106
DTLZ1,4,learning,2.8402629573853053,2.9320309872143397,,,65,294,149976,162128
DTLZ1,4,decision,1.9044365923386506,1.9124145651557178,,,306,207,136160,167056
DTLZ1,5,learning,2.71710205946552,3.1034991389184956,,,322,329,226330,237760
DTLZ1,5,decision,2.13653470666488,2.086330065991383,,,237,448,185060,222870
DTLZ1,6,learning,2.944220989274158,3.102160239138647,,,436,143,258024,292884
DTLZ1,6,decision,2.5275069929345944,2.4161810464885476,,,393,319,224472,288384
DTLZ1,7,learning,2.969159371718727,3.6196070266299682,,,151,416,220696,266098
DTLZ1,7,decision,1.8989902564351833,1.7553707869909934,,,182,390,173222,252854
DTLZ1,8,learning,3.067102716034597,3.6380295495760575,,,355,566,361008,413232
DTLZ1,8,decision,1.7142281845211862,2.266044787810266,,,377,26,287952,20416
DTLZ1,9,learning,2.7303740269458983,3.2950405764429025,,,625,407,546552,517068
DTLZ1,9,decision,1.718135584594052,1.7317756869396055,,,512,27,443700,28800
DTLZ2,3,learning,0.03431682728384824,0.3216318776387892,32.31836088897022,32.0,203,13,104076,5112
DTLZ2,3,decision,0.024397024454411182,0.8502155905799191,25.883494016510294,18.523569033407256,236,12,90246,3600
DTLZ2,4,learning,0.27084150426609627,0.3576446164702405,,,351,165,127824,138200
DTLZ2,4,decision,2.0225658521677055,2.0225658521677055,,,4,14,5280,5344
DTLZ2,5,learning,0.6458584971728707,0.5233012536197976,,,340,423,134300,227250
DTLZ2,5,decision,0.10335096011555077,0.07125875145266944,,,362,70,188670,232500
DTLZ2,6,learning,0.4369834390900499,0.5018774636886093,,,470,429,242136,259812
DTLZ2,6,decision,0.4004638992633684,0.41484166786498433,,,362,238,230448,288240
DTLZ2,7,learning,0.5154722220171069,0.8540907664556376,,,214,241,109172,141680
DTLZ2,7,decision,0.2596115227643793,0.19708425381533837,,,235,205,161574,246806
DTLZ2,8,learning,0.9385924293015451,0.8615815069387032,,,289,434,155888,341536
DTLZ2,8,decision,0.4071436758365241,0.42147136831116505,,,162,225,102032,376448
DTLZ2,9,learning,0.4504300158704403,0.8121165373530881,,,517,609,345564,571446
DTLZ2,9,decision,5.385209613524933,1.341170462520835,,,24,677,28152,562014
DTLZ3,3,learning,0.04840271775868847,0.8377855542225446,33.55267303320511,28.68156024346359,18,44,94338,88098
DTLZ3,3,decision,0.8397355700519595,0.06039710228394364,18.58781576501409,24.653034996024367,1,81,3912,101130
DTLZ3,4,learning,0.18808883666610865,0.44070973612560604,,,179,84,146280,200096
DTLZ3,4,decision,0.09227077272483347,0.6124066880042824,,,298,15,137864,27648
DTLZ3,5,learning,0.3894996031402477,0.7389066020374085,,,108,436,200040,238330
DTLZ3,5,decision,0.08577019627220148,0.17580483327232282,,,364,286,179200,211030
DTLZ3,6,learning,0.7627102996409778,0.8698902632268819,,,95,122,197208,242376
DTLZ3,6,decision,0.3855796493025914,0.5061926022517876,,,379,250,206676,288852
DTLZ3,7,learning,0.5826792563380443,1.5009130881721404,,,134,379,191198,263984
DTLZ3,7,decision,0.5851999847623094,0.2553081204162305,,,83,290,172536,205618
DTLZ3,8,learning,0.3543920608406013,1.7056810661389796,,,344,464,347200,421280
DTLZ3,8,decision,0.13192372555326703,0.06360087566087877,,,357,264,270624,345008
DTLZ3,9,learning,0.3876965158733224,1.6882263106092277,,,502,520,473868,485406
DTLZ3,9,decision,1.3845844593078698,0.7446705933276146,,,24,164,28134,117360
DTLZ4,3,learning,0.04903066121574732,0.28926722215582423,32.186627160175796,31.931727884411778,210,20,107970,36378
DTLZ4,3,decision,0.11857912440800225,0.11497184500580543,26.243420884108836,25.068759437281926,260,107,90624,84558
DTLZ4,4,learning,0.2293811495933925,0.21140160520026263,,,424,458,173792,192368
DTLZ4,4,decision,0.10456308398018516,0.1444907764390948,,,317,134,145528,151496
DTLZ4,5,learning,0.5032443052842894,0.5965407067606165,,,459,379,229180,233370
DTLZ4,5,decision,0.24908020698407707,0.40778891248258065,,,332,73,186990,173210
DTLZ4,6,learning,0.6209551837423297,1.0308558675436854,,,508,582,288360,326556
DTLZ4,6,decision,1.007818040094736,1.031136709336746,,,388,352,230400,259980
DTLZ4,7,learning,3.525328934346568,0.9838889217054048,,,114,220,62384,132664
DTLZ4,7,decision,1.1557177747411833,0.7976816426767576,,,117,272,82138,246330
DTLZ4,8,learning,0.7665691282336643,1.3829171842789392,,,506,596,383904,452688
DTLZ4,8,decision,0.9817215150128535,0.7547439979995324,,,380,485,272368,375264
DTLZ4,9,learning,1.03371679695005,1.909159096567976,,,688,790,581040,683046
DTLZ4,9,decision,0.5129815303515547,0.12810692917178676,,,518,282,458766,443088
DTLZ1,3,learning,2.550425969457546,2.5600572388589686,34.81806405687261,34.30454559763571,25,101,103728,109518
DTLZ1,3,decision,1.9184969857219647,1.9208102713666768,24.486326176538377,25.295638868078118,176,155,94842,107646
DTLZ1,4,learning,2.871500962828361,3.2160900268173775,,,305,18,161624,111888
DTLZ1,4,decision,1.6977749178859796,1.6906535824465911,,,364,46,131232,171248
DTLZ1,5,learning,2.711856759725155,2.848303968305929,,,288,317,213220,182250
DTLZ1,5,decision,1.715389342270675,1.7041181098672782,,,389,230,197020,221000
DTLZ1,6,learning,2.6758889402385995,3.0498685097783023,,,293,462,269064,289860
DTLZ1,6,decision,1.700270608663891,2.0604804354693176,,,389,19,230100,11688
DTLZ1,7,learning,3.2377538361947127,3.6892939861411627,,,319,310,219898,260666
DTLZ1,7,decision,2.038411262243735,1.8819012538114128,,,187,257,175462,254632
DTLZ1,8,learning,2.9220258699218387,3.501253985040078,,,419,17,340784,332080
DTLZ1,8,decision,1.7456845479148728,1.7251467509928737,,,380,86,292064,408752
DTLZ1,9,learning,2.6514529302249468,4.185048102154077,,,418,701,450684,666162
DTLZ1,9,decision,1.7178914549036248,1.729148611042758,,,512,644,447408,609912
DTLZ2,3,learning,0.09143193954285368,0.2702680538306904,32.56085370159847,32.55956186715173,211,45,100134,26154
DTLZ2,3,decision,0.13325391209845128,1.7818531051232434,26.112374131777763,13.934134679949251,251,11,75420,3600
DTLZ2,4,learning,0.45677581777976495,0.8511085197355672,,,251,95,89456,39312
DTLZ2,4,decision,0.2225472261649028,0.39036233555939176,,,286,32,138256,6304
DTLZ2,5,learning,0.13062803333975614,0.4469006873088036,,,452,307,193380,147170
DTLZ2,5,decision,0.04204974150185852,0.2640705744459105,,,355,119,188810,191860
DTLZ2,6,learning,0.6231485381031198,0.5654621279576066,,,214,206,89292,68136
DTLZ2,6,decision,4.555233833844401,4.555233833844401,,,11,21,10800,10800
DTLZ2,7,learning,0.4312692780328079,0.7473679132833324,,,334,345,192948,212912
DTLZ2,7,decision,0.48191151658107284,0.10944972692817985,,,261,235,180446,220556
DTLZ2,8,learning,0.2615830419209044,0.5554069976961582,,,361,239,219264,157088
DTLZ2,8,decision,2.8385118600692794,1.2939972154558612,,,162,527,105600,379616
DTLZ2,9,learning,0.35679588435442977,1.1636009804581264,,,678,598,509616,590094
DTLZ2,9,decision,1.355442874989934,1.3133049844565927,,,508,670,353304,575388
DTLZ3,3,learning,0.06518531437040213,0.21614014848540702,35.743850982276115,32.96551371781772,122,7,83910,26658
DTLZ3,3,decision,0.0953009337166496,0.0939972673929223,26.32175568034689,25.403049309314984,295,7,86412,87114
DTLZ3,4,learning,0.1187017528110304,0.25023709564685565,,,167,8,177784,126112
DTLZ3,4,decision,1.9826726116371478,1.9826642073641587,,,9,5,5280,4800
DTLZ3,5,learning,0.3349718624733648,2.046757862789212,,,228,28,200370,137600
DTLZ3,5,decision,0.13365888751372917,0.32380445129822283,,,331,10,184860,6000
DTLZ3,6,learning,0.29275011431498166,1.39058481592016,,,357,13,208116,123348
DTLZ3,6,decision,0.43281537942544845,0.3647583326708013,,,219,91,95400,242940
DTLZ3,7,learning,0.4408655426212265,1.1677571595347018,,,155,291,210168,251804
DTLZ3,7,decision,0.3711381104937631,0.3749268190119698,,,179,154,125776,248934
DTLZ3,8,learning,0.8803866726005625,1.8863183228497418,,,256,563,296304,441232
DTLZ3,8,decision,0.24322964310895584,0.6368139196879344,,,296,87,283952,86480
DTLZ3,9,learning,0.3133321402556688,1.0579027339120044,,,435,311,411732,438822
DTLZ3,9,decision,0.3666816575310804,0.42139669843001915,,,400,359,296532,526140
DTLZ4,3,learning,0.03535199231381267,1.9226070504777368,32.31973654048292,24.99999353546709,220,17,104328,34458
DTLZ4,3,decision,0.06708230885850638,0.17909008625559103,25.587137570512404,25.102998428881648,255,116,88326,87702
DTLZ4,4,learning,0.08059205644465359,0.3959950298127418,,,298,51,154328,39472
DTLZ4,4,decision,0.08123182953392688,0.1137581793024186,,,326,214,139512,140472
DTLZ4,5,learning,0.47983450750188705,0.6422782067781608,,,465,413,230300,235670
DTLZ4,5,decision,0.934742276945941,1.0988061655401666,,,366,221,189800,190010
DTLZ4,6,learning,0.31649154806021207,0.5258966008904619,,,516,564,295584,313212
DTLZ4,6,decision,0.21717774768847792,0.1827497618157023,,,364,217,232524,242460
DTLZ4,7,learning,0.490413947598077,3.431980847786098,,,344,198,202958,112392
DTLZ4,7,decision,1.2407823488024263,0.9984461595666196,,,268,313,189056,250292
DTLZ4,8,learning,0.8344886157572325,1.4747718298785064,,,503,595,377104,452288
DTLZ4,8,decision,1.2977470766926273,1.2939610514446143,,,380,524,290896,401520
DTLZ4,9,learning,0.2314290536056911,0.5719525157610744,,,671,363,559062,474678
DTLZ4,9,decision,0.4462004820410865,0.4622674630863188,,,513,487,422172,427878
DTLZ1,3,learning,2.529403993504089,2.628639055437599,34.59332294092695,33.363044054275235,227,3,106392,66606
DTLZ1,3,decision,1.935368184874973,1.9001838857293014,25.70780435653415,26.10170609858173,320,6,87498,107466
DTLZ1,4,learning,2.8001641900147347,2.8047508480931356,,,245,180,156608,178112
DTLZ1,4,decision,1.7932465877890769,1.7477746830443455,,,361,434,136768,163456
DTLZ1,5,learning,3.106920744408542,3.2225150214902523,,,337,281,228670,234250
DTLZ1,5,decision,1.8167314325258528,1.8250614313529434,,,378,393,186640,231460
DTLZ1,6,learning,2.8307794752076205,3.1570378750649293,,,351,246,229656,298632
DTLZ1,6,decision,2.5231176641442037,2.434644642681977,,,393,312,225408,283584
DTLZ1,7,learning,2.815072393698724,3.160478289792796,,,107,385,199626,259196
DTLZ1,7,decision,2.5720515868674756,2.406532421035651,,,263,293,177912,206892
DTLZ1,8,learning,2.6690569283713237,3.0616122366461247,,,469,16,365744,338960
DTLZ1,8,decision,1.8606309993121486,1.7529664519102253,,,379,414,282256,394112
DTLZ1,9,learning,2.6674136386103116,3.396359970863937,,,681,562,511308,567990
DTLZ1,9,decision,1.717904317563916,2.388397552854566,,,516,30,447786,28746
DTLZ2,3,learning,0.08957900632480773,0.2284928565123624,33.24111804470549,33.25740563619705,254,100,102546,39606
DTLZ2,3,decision,0.6059771076439794,0.8585430064518129,20.655465986248323,18.47647934135349,21,2,4644,3600
DTLZ2,4,learning,0.30362364598740443,0.5073367739258885,,,404,224,131536,108696
DTLZ2,4,decision,1.0145670909703246,1.0926013032517299,,,320,155,144104,142840
DTLZ2,5,learning,0.16669080730990488,0.5967801170865683,,,477,496,218000,235580
DTLZ2,5,decision,0.03884062969749713,0.2899173072862985,,,350,89,187460,181390
DTLZ2,6,learning,1.9746851194424275,0.5417082189532143,,,127,444,72384,221352
DTLZ2,6,decision,0.2013000985036537,0.14453609203271495,,,354,293,181752,245124
DTLZ2,7,learning,1.261428882999534,0.6903317791522575,,,114,348,65254,184646
DTLZ2,7,decision,4.847711889321193,1.2481890647888116,,,18,395,16800,262458
DTLZ2,8,learning,0.4448519309992501,0.7580348006571938,,,450,530,282416,347008
DTLZ2,8,decision,0.3858506182454387,0.4343430858272558,,,316,151,231424,156128
DTLZ2,9,learning,0.360723844481102,0.82259315099686,,,660,599,474570,460008
DTLZ2,9,decision,0.3562687519579662,0.24527756461278538,,,460,275,365958,302868
DTLZ3,3,learning,0.46325304337430273,0.34282478310920694,31.56296115538769,32.67164617796586,43,5,81462,93366
DTLZ3,3,decision,0.0952180960626778,0.17490101903020908,24.747203848546512,24.541909126781327,144,1,77694,81672
DTLZ3,4,learning,0.2475239247792101,1.1544338333846662,,,328,7,163240,71208
